image_id,file_name,file_path,original_file_name,original_path,original_extension,split,label_id,disease_type,verification_status,severity
DLDD_TRAIN_000001,DLDD_TRAIN_000001.jpg,algal/DLDD_TRAIN_000001.jpg,Leaf_Algal_100.jpg,algal/Leaf_Algal_100.jpg,.jpg,train,1,algal,verified,3
DLDD_TRAIN_000002,DLDD_TRAIN_000002.jpg,algal/DLDD_TRAIN_000002.jpg,Leaf_Algal_101.jpg,algal/Leaf_Algal_101.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000003,DLDD_TRAIN_000003.jpg,algal/DLDD_TRAIN_000003.jpg,Leaf_Algal_103.jpg,algal/Leaf_Algal_103.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000004,DLDD_TRAIN_000004.jpg,algal/DLDD_TRAIN_000004.jpg,Leaf_Algal_104.jpg,algal/Leaf_Algal_104.jpg,.jpg,train,1,algal,verified,2
DLDD_TRAIN_000005,DLDD_TRAIN_000005.jpg,algal/DLDD_TRAIN_000005.jpg,Leaf_Algal_105.jpg,algal/Leaf_Algal_105.jpg,.jpg,train,1,algal,verified,2
DLDD_TRAIN_000006,DLDD_TRAIN_000006.jpg,algal/DLDD_TRAIN_000006.jpg,Leaf_Algal_106.jpg,algal/Leaf_Algal_106.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000007,DLDD_TRAIN_000007.jpg,algal/DLDD_TRAIN_000007.jpg,Leaf_Algal_107.jpg,algal/Leaf_Algal_107.jpg,.jpg,train,1,algal,verified,3
DLDD_TRAIN_000008,DLDD_TRAIN_000008.jpg,algal/DLDD_TRAIN_000008.jpg,Leaf_Algal_109.jpg,algal/Leaf_Algal_109.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000009,DLDD_TRAIN_000009.jpg,algal/DLDD_TRAIN_000009.jpg,Leaf_Algal_110.jpg,algal/Leaf_Algal_110.jpg,.jpg,train,1,algal,verified,2
DLDD_TRAIN_000010,DLDD_TRAIN_000010.jpg,algal/DLDD_TRAIN_000010.jpg,Leaf_Algal_123.jpg,algal/Leaf_Algal_123.jpg,.jpg,train,1,algal,verified,3
DLDD_TRAIN_000011,DLDD_TRAIN_000011.jpg,algal/DLDD_TRAIN_000011.jpg,Leaf_Algal_125.jpg,algal/Leaf_Algal_125.jpg,.jpg,train,1,algal,verified,2
DLDD_TRAIN_000012,DLDD_TRAIN_000012.jpg,algal/DLDD_TRAIN_000012.jpg,Leaf_Algal_126.jpg,algal/Leaf_Algal_126.jpg,.jpg,train,1,algal,verified,3
DLDD_TRAIN_000013,DLDD_TRAIN_000013.jpg,algal/DLDD_TRAIN_000013.jpg,Leaf_Algal_128.jpg,algal/Leaf_Algal_128.jpg,.jpg,train,1,algal,verified,2
DLDD_TRAIN_000014,DLDD_TRAIN_000014.jpg,algal/DLDD_TRAIN_000014.jpg,Leaf_Algal_132.jpg,algal/Leaf_Algal_132.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000015,DLDD_TRAIN_000015.jpg,algal/DLDD_TRAIN_000015.jpg,Leaf_Algal_136.jpg,algal/Leaf_Algal_136.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000016,DLDD_TRAIN_000016.jpg,algal/DLDD_TRAIN_000016.jpg,Leaf_Algal_137.jpg,algal/Leaf_Algal_137.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000017,DLDD_TRAIN_000017.jpg,algal/DLDD_TRAIN_000017.jpg,Leaf_Algal_138.jpg,algal/Leaf_Algal_138.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000018,DLDD_TRAIN_000018.jpg,algal/DLDD_TRAIN_000018.jpg,Leaf_Algal_139.jpg,algal/Leaf_Algal_139.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000019,DLDD_TRAIN_000019.jpg,algal/DLDD_TRAIN_000019.jpg,Leaf_Algal_140.jpg,algal/Leaf_Algal_140.jpg,.jpg,train,1,algal,verified,1
DLDD_TRAIN_000020,DLDD_TRAIN_000020.jpg,algal/DLDD_TRAIN_000020.jpg,Leaf_Algal_142.jpg,algal/Leaf_Algal_142.jpg,.jpg,train,1,algal,verified,2
DLDD_TRAIN_000021,DLDD_TRAIN_000021.jpg,algal/DLDD_TRAIN_000021.jpg,Leaf_Algal_143.jpg,algal/Leaf_Algal_143.jpg,.jpg,train,1,algal,verified,2
